**************************************************
time =  0.000e+00, print energy and ob(e)
--------------------------------------------------
-5.3185922e-03  0.0000000e+00
-5.3002175e-03  0.0000000e+00
-5.2818428e-03  0.0000000e+00
-5.2634682e-03  0.0000000e+00
-5.2450935e-03  0.0000000e+00
-5.2267189e-03  0.0000000e+00
-5.2083442e-03  0.0000000e+00
-5.1899695e-03  0.0000000e+00
-5.1715949e-03  0.0000000e+00
-5.1532202e-03  0.0000000e+00
-5.1348455e-03  0.0000000e+00
-5.1164709e-03  0.0000000e+00
-5.0980962e-03  0.0000000e+00
-5.0797216e-03  0.0000000e+00
-5.0613469e-03  0.0000000e+00
-5.0429722e-03  0.0000000e+00
-5.0245976e-03  0.0000000e+00
-5.0062229e-03  0.0000000e+00
-4.9878483e-03  0.0000000e+00
-4.9694736e-03  0.0000000e+00
-4.9510989e-03  0.0000000e+00
-4.9327243e-03  0.0000000e+00
-4.9143496e-03  0.0000000e+00
-4.8959749e-03  0.0000000e+00
-4.8776003e-03  0.0000000e+00
-4.8592256e-03  0.0000000e+00
-4.8408510e-03  6.7676863e-04
-4.8224763e-03  3.5558315e-02
-4.8041016e-03  3.6806224e-02
-4.7857270e-03  3.5046514e-02
-4.7673523e-03  0.0000000e+00
-4.7489776e-03  1.7299198e-02
-4.7306030e-03  1.8309360e-02
-4.7122283e-03  1.8204451e-02
-4.6938537e-03  0.0000000e+00
-4.6754790e-03  3.3886939e-02
-4.6571043e-03  4.7292794e-02
-4.6387297e-03  5.4539764e-02
-4.6203550e-03  1.8401681e-02
-4.6019804e-03  4.1453607e-02
-4.5836057e-03  7.1610525e-02
-4.5652310e-03  7.2512014e-02
-4.5468564e-03  3.6306822e-02
-4.5284817e-03  0.0000000e+00
-4.5101070e-03  0.0000000e+00
-4.4917324e-03  0.0000000e+00
-4.4733577e-03  0.0000000e+00
-4.4549831e-03  1.7188514e-02
-4.4366084e-03  1.0508212e-01
-4.4182337e-03  1.0976811e-01
-4.3998591e-03  9.0658348e-02
-4.3814844e-03  0.0000000e+00
-4.3631097e-03  1.7134837e-02
-4.3447351e-03  3.4931649e-02
-4.3263604e-03  3.6329808e-02
-4.3079858e-03  1.8375464e-02
-4.2896111e-03  3.5071719e-02
-4.2712364e-03  5.3764280e-02
-4.2528618e-03  5.4365803e-02
-4.2344871e-03  1.8297657e-02
-4.2161125e-03  1.1268520e-02
-4.1977378e-03  2.0309051e-02
-4.1793631e-03  2.1184916e-02
-4.1609885e-03  2.6458833e-02
-4.1426138e-03  1.8292850e-02
-4.1242391e-03  1.8215022e-02
-4.1058645e-03  3.3188782e-02
-4.0874898e-03  3.6036604e-02
-4.0691152e-03  3.6759660e-02
-4.0507405e-03  1.6555280e-02
-4.0323658e-03  1.8002389e-02
-4.0139912e-03  1.8390009e-02
-3.9956165e-03  0.0000000e+00
-3.9772418e-03  8.8269148e-03
-3.9588672e-03  2.5882807e-02
-3.9404925e-03  4.4314023e-02
-3.9221179e-03  3.6668172e-02
-3.9037432e-03  1.8223625e-02
-3.8853685e-03  3.4801875e-02
-3.8669939e-03  3.6661734e-02
-3.8486192e-03  3.6283603e-02
-3.8302446e-03  1.7485866e-02
-3.8118699e-03  1.8359859e-02
-3.7934952e-03  3.4824211e-02
-3.7751206e-03  1.8079166e-02
-3.7567459e-03  3.2007365e-02
-3.7383712e-03  1.7892916e-02
-3.7199966e-03  1.8402360e-02
-3.7016219e-03  2.9733701e-03
-3.6832473e-03  0.0000000e+00
-3.6648726e-03  0.0000000e+00
-3.6464979e-03  0.0000000e+00
-3.6281233e-03  0.0000000e+00
-3.6097486e-03  0.0000000e+00
-3.5913739e-03  0.0000000e+00
-3.5729993e-03  2.5052017e-02
-3.5546246e-03  2.7098712e-02
-3.5362500e-03  2.7538962e-02
-3.5178753e-03  0.0000000e+00
-3.4995006e-03  5.0456978e-02
-3.4811260e-03  5.4342109e-02
-3.4627513e-03  5.4988089e-02
-3.4443767e-03  0.0000000e+00
-3.4260020e-03  0.0000000e+00
-3.4076273e-03  3.5514813e-02
-3.3892527e-03  7.1559409e-02
-3.3708780e-03  7.2491617e-02
-3.3525033e-03  3.6331481e-02
-3.3341287e-03  0.0000000e+00
-3.3157540e-03  3.3898149e-02
-3.2973794e-03  3.6363231e-02
-3.2790047e-03  3.6644576e-02
-3.2606300e-03  0.0000000e+00
-3.2422554e-03  0.0000000e+00
-3.2238807e-03  1.6689302e-02
-3.2055060e-03  1.8067512e-02
-3.1871314e-03  3.6068206e-02
-3.1687567e-03  1.8396300e-02
-3.1503821e-03  1.7967966e-02
-3.1320074e-03  0.0000000e+00
-3.1136327e-03  0.0000000e+00
-3.0952581e-03  1.7242299e-02
-3.0768834e-03  3.5126610e-02
-3.0585088e-03  3.6359001e-02
-3.0401341e-03  1.8346566e-02
-3.0217594e-03  1.6400881e-02
-3.0033848e-03  2.9771246e-02
-2.9850101e-03  3.0669976e-02
-2.9666354e-03  2.9317422e-02
-2.9482608e-03  1.8333440e-02
-2.9298861e-03  1.8165011e-02
-2.9115115e-03  0.0000000e+00
-2.8931368e-03  0.0000000e+00
-2.8747621e-03  0.0000000e+00
-2.8563875e-03  0.0000000e+00
-2.8380128e-03  0.0000000e+00
-2.8196381e-03  0.0000000e+00
-2.8012635e-03  0.0000000e+00
-2.7828888e-03  0.0000000e+00
-2.7645142e-03  1.6396534e-02
-2.7461395e-03  3.5174143e-02
-2.7277648e-03  3.6695660e-02
-2.7093902e-03  3.5648466e-02
-2.6910155e-03  3.5244378e-02
-2.6726409e-03  3.6305079e-02
-2.6542662e-03  1.8335385e-02
-2.6358915e-03  0.0000000e+00
-2.6175169e-03  0.0000000e+00
-2.5991422e-03  0.0000000e+00
-2.5807675e-03  0.0000000e+00
-2.5623929e-03  0.0000000e+00
-2.5440182e-03  0.0000000e+00
-2.5256436e-03  0.0000000e+00
-2.5072689e-03  0.0000000e+00
-2.4888942e-03  1.7709865e-02
-2.4705196e-03  1.8398132e-02
-2.4521449e-03  1.7955142e-02
-2.4337702e-03  1.7787302e-02
-2.4153956e-03  1.8403493e-02
-2.3970209e-03  1.7887447e-02
-2.3786463e-03  1.7813505e-02
-2.3602716e-03  1.8404724e-02
-2.3418969e-03  3.4713347e-02
-2.3235223e-03  1.8140279e-02
-2.3051476e-03  5.1211810e-02
-2.2867730e-03  3.5880833e-02
-2.2683983e-03  3.6799487e-02
-2.2500236e-03  0.0000000e+00
-2.2316490e-03  3.5149598e-02
-2.2132743e-03  3.6756211e-02
-2.1948996e-03  4.4798570e-02
-2.1765250e-03  9.1667333e-03
-2.1581503e-03  1.7402261e-02
-2.1397757e-03  9.0217896e-03
-2.1214010e-03  9.1906510e-03
-2.1030263e-03  0.0000000e+00
-2.0846517e-03  8.5688489e-03
-2.0662770e-03  9.1276073e-03
-2.0479023e-03  9.1337548e-03
-2.0295277e-03  0.0000000e+00
-2.0111530e-03  0.0000000e+00
-1.9927784e-03  0.0000000e+00
-1.9744037e-03  0.0000000e+00
-1.9560290e-03  0.0000000e+00
-1.9376544e-03  0.0000000e+00
-1.9192797e-03  0.0000000e+00
-1.9009051e-03  0.0000000e+00
-1.8825304e-03  0.0000000e+00
-1.8641557e-03  1.0983965e-02
-1.8457811e-03  1.1974953e-02
