**************************************************
time =  0.000e+00, print energy and ob(e)
--------------------------------------------------
 5.2037034e-02  0.0000000e+00
 5.2055409e-02  0.0000000e+00
 5.2073784e-02  0.0000000e+00
 5.2092158e-02  0.0000000e+00
 5.2110533e-02  0.0000000e+00
 5.2128908e-02  0.0000000e+00
 5.2147282e-02  0.0000000e+00
 5.2165657e-02  0.0000000e+00
 5.2184032e-02  0.0000000e+00
 5.2202406e-02  0.0000000e+00
 5.2220781e-02  0.0000000e+00
 5.2239156e-02  0.0000000e+00
 5.2257530e-02  0.0000000e+00
 5.2275905e-02  0.0000000e+00
 5.2294280e-02  0.0000000e+00
 5.2312654e-02  0.0000000e+00
 5.2331029e-02  0.0000000e+00
 5.2349404e-02  0.0000000e+00
 5.2367778e-02  0.0000000e+00
 5.2386153e-02  0.0000000e+00
 5.2404528e-02  0.0000000e+00
 5.2422902e-02  0.0000000e+00
 5.2441277e-02  0.0000000e+00
 5.2459652e-02  0.0000000e+00
 5.2478026e-02  0.0000000e+00
 5.2496401e-02  0.0000000e+00
 5.2514775e-02  4.1839201e-05
 5.2533150e-02  8.3678403e-05
 5.2551525e-02  8.3678404e-05
 5.2569899e-02  4.1839202e-05
 5.2588274e-02  0.0000000e+00
 5.2606649e-02  0.0000000e+00
 5.2625023e-02  0.0000000e+00
 5.2643398e-02  0.0000000e+00
 5.2661773e-02  0.0000000e+00
 5.2680147e-02  0.0000000e+00
 5.2698522e-02  0.0000000e+00
 5.2716897e-02  0.0000000e+00
 5.2735271e-02  0.0000000e+00
 5.2753646e-02  0.0000000e+00
 5.2772021e-02  5.1799767e-04
 5.2790395e-02  5.1799768e-04
 5.2808770e-02  5.1799768e-04
 5.2827145e-02  0.0000000e+00
 5.2845519e-02  0.0000000e+00
 5.2863894e-02  3.5649880e-04
 5.2882269e-02  3.5649881e-04
 5.2900643e-02  3.5649881e-04
 5.2919018e-02  0.0000000e+00
 5.2937393e-02  0.0000000e+00
 5.2955767e-02  0.0000000e+00
 5.2974142e-02  0.0000000e+00
 5.2992517e-02  0.0000000e+00
 5.3010891e-02  0.0000000e+00
 5.3029266e-02  0.0000000e+00
 5.3047641e-02  0.0000000e+00
 5.3066015e-02  0.0000000e+00
 5.3084390e-02  0.0000000e+00
 5.3102765e-02  0.0000000e+00
 5.3121139e-02  0.0000000e+00
 5.3139514e-02  0.0000000e+00
 5.3157889e-02  0.0000000e+00
 5.3176263e-02  0.0000000e+00
 5.3194638e-02  5.0789386e-04
 5.3213013e-02  5.0789387e-04
 5.3231387e-02  5.0789387e-04
 5.3249762e-02  0.0000000e+00
 5.3268137e-02  0.0000000e+00
 5.3286511e-02  0.0000000e+00
 5.3304886e-02  0.0000000e+00
 5.3323261e-02  0.0000000e+00
 5.3341635e-02  0.0000000e+00
 5.3360010e-02  0.0000000e+00
 5.3378385e-02  0.0000000e+00
 5.3396759e-02  0.0000000e+00
 5.3415134e-02  0.0000000e+00
 5.3433509e-02  0.0000000e+00
 5.3451883e-02  7.8784009e-04
 5.3470258e-02  7.8784009e-04
 5.3488633e-02  7.8784009e-04
 5.3507007e-02  0.0000000e+00
 5.3525382e-02  2.4224632e-04
 5.3543757e-02  2.4224632e-04
 5.3562131e-02  2.4224632e-04
 5.3580506e-02  0.0000000e+00
 5.3598881e-02  0.0000000e+00
 5.3617255e-02  0.0000000e+00
 5.3635630e-02  0.0000000e+00
 5.3654005e-02  0.0000000e+00
 5.3672379e-02  0.0000000e+00
 5.3690754e-02  0.0000000e+00
 5.3709129e-02  0.0000000e+00
 5.3727503e-02  0.0000000e+00
 5.3745878e-02  0.0000000e+00
 5.3764252e-02  0.0000000e+00
 5.3782627e-02  0.0000000e+00
 5.3801002e-02  0.0000000e+00
 5.3819376e-02  0.0000000e+00
 5.3837751e-02  0.0000000e+00
 5.3856126e-02  1.2905271e-04
 5.3874500e-02  1.2905271e-04
 5.3892875e-02  1.2905271e-04
 5.3911250e-02  0.0000000e+00
 5.3929624e-02  0.0000000e+00
 5.3947999e-02  0.0000000e+00
 5.3966374e-02  0.0000000e+00
 5.3984748e-02  0.0000000e+00
 5.4003123e-02  0.0000000e+00
 5.4021498e-02  0.0000000e+00
 5.4039872e-02  0.0000000e+00
 5.4058247e-02  0.0000000e+00
 5.4076622e-02  2.0450148e-04
 5.4094996e-02  4.0725054e-04
 5.4113371e-02  4.0725054e-04
 5.4131746e-02  2.0274906e-04
 5.4150120e-02  0.0000000e+00
 5.4168495e-02  3.7326368e-04
 5.4186870e-02  3.7326368e-04
 5.4205244e-02  3.7326368e-04
 5.4223619e-02  0.0000000e+00
 5.4241994e-02  0.0000000e+00
 5.4260368e-02  0.0000000e+00
 5.4278743e-02  0.0000000e+00
 5.4297118e-02  0.0000000e+00
 5.4315492e-02  0.0000000e+00
 5.4333867e-02  0.0000000e+00
 5.4352242e-02  0.0000000e+00
 5.4370616e-02  0.0000000e+00
 5.4388991e-02  0.0000000e+00
 5.4407366e-02  0.0000000e+00
 5.4425740e-02  0.0000000e+00
 5.4444115e-02  0.0000000e+00
 5.4462490e-02  1.3628325e-04
 5.4480864e-02  2.7141556e-04
 5.4499239e-02  2.7141557e-04
 5.4517614e-02  1.3513231e-04
 5.4535988e-02  0.0000000e+00
 5.4554363e-02  0.0000000e+00
 5.4572738e-02  0.0000000e+00
 5.4591112e-02  0.0000000e+00
 5.4609487e-02  0.0000000e+00
 5.4627862e-02  0.0000000e+00
 5.4646236e-02  0.0000000e+00
 5.4664611e-02  0.0000000e+00
 5.4682986e-02  0.0000000e+00
 5.4701360e-02  7.1753019e-05
 5.4719735e-02  2.8204075e-04
 5.4738110e-02  2.8204075e-04
 5.4756484e-02  2.1028773e-04
 5.4774859e-02  0.0000000e+00
 5.4793234e-02  0.0000000e+00
 5.4811608e-02  0.0000000e+00
 5.4829983e-02  0.0000000e+00
 5.4848358e-02  0.0000000e+00
 5.4866732e-02  0.0000000e+00
 5.4885107e-02  0.0000000e+00
 5.4903482e-02  0.0000000e+00
 5.4921856e-02  0.0000000e+00
 5.4940231e-02  0.0000000e+00
 5.4958606e-02  0.0000000e+00
 5.4976980e-02  0.0000000e+00
 5.4995355e-02  0.0000000e+00
 5.5013730e-02  0.0000000e+00
 5.5032104e-02  0.0000000e+00
 5.5050479e-02  0.0000000e+00
 5.5068853e-02  3.6456703e-05
 5.5087228e-02  7.2133497e-05
 5.5105603e-02  7.2133498e-05
 5.5123977e-02  3.5676795e-05
 5.5142352e-02  0.0000000e+00
 5.5160727e-02  0.0000000e+00
 5.5179101e-02  0.0000000e+00
 5.5197476e-02  0.0000000e+00
 5.5215851e-02  0.0000000e+00
 5.5234225e-02  0.0000000e+00
 5.5252600e-02  0.0000000e+00
 5.5270975e-02  0.0000000e+00
 5.5289349e-02  1.1488834e-04
 5.5307724e-02  2.2751538e-04
 5.5326099e-02  2.2751538e-04
 5.5344473e-02  1.1262704e-04
 5.5362848e-02  1.0668810e-04
 5.5381223e-02  1.0668810e-04
 5.5399597e-02  1.3219016e-04
 5.5417972e-02  2.5502059e-05
 5.5436347e-02  2.5502059e-05
 5.5454721e-02  0.0000000e+00
 5.5473096e-02  0.0000000e+00
 5.5491471e-02  0.0000000e+00
 5.5509845e-02  0.0000000e+00
 5.5528220e-02  0.0000000e+00
 5.5546595e-02  0.0000000e+00
 5.5564969e-02  0.0000000e+00
 5.5583344e-02  0.0000000e+00
 5.5601719e-02  0.0000000e+00
 5.5620093e-02  0.0000000e+00
 5.5638468e-02  0.0000000e+00
 5.5656843e-02  0.0000000e+00
 5.5675217e-02  3.8279920e-05
 5.5693592e-02  7.5887988e-05
 5.5711967e-02  7.5887988e-05
 5.5730341e-02  3.7608067e-05
 5.5748716e-02  0.0000000e+00
 5.5767091e-02  0.0000000e+00
 5.5785465e-02  0.0000000e+00
 5.5803840e-02  0.0000000e+00
 5.5822215e-02  0.0000000e+00
 5.5840589e-02  0.0000000e+00
 5.5858964e-02  3.1690487e-05
 5.5877339e-02  6.2889075e-05
 5.5895713e-02  6.2889076e-05
 5.5914088e-02  3.1198588e-05
 5.5932463e-02  0.0000000e+00
 5.5950837e-02  2.8671128e-05
 5.5969212e-02  5.6750314e-05
 5.5987587e-02  5.6750315e-05
 5.6005961e-02  2.8079186e-05
 5.6024336e-02  0.0000000e+00
 5.6042711e-02  0.0000000e+00
 5.6061085e-02  0.0000000e+00
 5.6079460e-02  0.0000000e+00
 5.6097835e-02  0.0000000e+00
 5.6116209e-02  0.0000000e+00
 5.6134584e-02  0.0000000e+00
 5.6152959e-02  0.0000000e+00
 5.6171333e-02  0.0000000e+00
 5.6189708e-02  0.0000000e+00
 5.6208083e-02  1.4682475e-05
 5.6226457e-02  1.4682475e-05
 5.6244832e-02  1.4682475e-05
 5.6263207e-02  0.0000000e+00
 5.6281581e-02  0.0000000e+00
 5.6299956e-02  0.0000000e+00
 5.6318331e-02  0.0000000e+00
 5.6336705e-02  0.0000000e+00
 5.6355080e-02  0.0000000e+00
 5.6373454e-02  0.0000000e+00
 5.6391829e-02  0.0000000e+00
 5.6410204e-02  1.7690370e-05
 5.6428578e-02  1.7690370e-05
 5.6446953e-02  3.4732529e-05
 5.6465328e-02  1.7042159e-05
 5.6483702e-02  3.3472196e-05
 5.6502077e-02  4.8848712e-05
 5.6520452e-02  4.8848712e-05
 5.6538826e-02  4.8050324e-05
 5.6557201e-02  1.5631649e-05
 5.6575576e-02  1.5631649e-05
 5.6593950e-02  0.0000000e+00
 5.6612325e-02  0.0000000e+00
 5.6630700e-02  0.0000000e+00
 5.6649074e-02  0.0000000e+00
 5.6667449e-02  0.0000000e+00
 5.6685824e-02  0.0000000e+00
 5.6704198e-02  0.0000000e+00
 5.6722573e-02  0.0000000e+00
 5.6740948e-02  0.0000000e+00
 5.6759322e-02  2.4587461e-05
 5.6777697e-02  2.4587461e-05
 5.6796072e-02  4.8375522e-05
 5.6814446e-02  2.3788061e-05
 5.6832821e-02  2.3788061e-05
 5.6851196e-02  0.0000000e+00
 5.6869570e-02  0.0000000e+00
 5.6887945e-02  0.0000000e+00
 5.6906320e-02  0.0000000e+00
 5.6924694e-02  0.0000000e+00
 5.6943069e-02  1.0116924e-05
 5.6961444e-02  1.9992028e-05
 5.6979818e-02  1.9992028e-05
 5.6998193e-02  2.8997910e-05
 5.7016568e-02  1.9122806e-05
 5.7034942e-02  3.7597870e-05
 5.7053317e-02  1.8475064e-05
 5.7071692e-02  1.8475064e-05
 5.7090066e-02  0.0000000e+00
 5.7108441e-02  0.0000000e+00
 5.7126816e-02  0.0000000e+00
 5.7145190e-02  0.0000000e+00
 5.7163565e-02  0.0000000e+00
 5.7181940e-02  0.0000000e+00
 5.7200314e-02  0.0000000e+00
 5.7218689e-02  0.0000000e+00
 5.7237064e-02  0.0000000e+00
 5.7255438e-02  0.0000000e+00
 5.7273813e-02  0.0000000e+00
 5.7292188e-02  0.0000000e+00
 5.7310562e-02  0.0000000e+00
 5.7328937e-02  0.0000000e+00
 5.7347312e-02  0.0000000e+00
 5.7365686e-02  0.0000000e+00
 5.7384061e-02  0.0000000e+00
 5.7402436e-02  3.0994220e-06
 5.7420810e-02  3.0994220e-06
 5.7439185e-02  3.0994221e-06
 5.7457560e-02  0.0000000e+00
 5.7475934e-02  0.0000000e+00
 5.7494309e-02  1.4063595e-06
 5.7512684e-02  5.6152596e-06
 5.7531058e-02  1.6472617e-05
 5.7549433e-02  2.0378680e-05
 5.7567808e-02  1.6169780e-05
 5.7586182e-02  5.3124219e-06
 5.7604557e-02  0.0000000e+00
 5.7622931e-02  0.0000000e+00
 5.7641306e-02  4.8407879e-06
 5.7659681e-02  4.8407879e-06
 5.7678055e-02  9.5491843e-06
 5.7696430e-02  4.7083964e-06
 5.7714805e-02  4.7083964e-06
 5.7733179e-02  0.0000000e+00
 5.7751554e-02  0.0000000e+00
 5.7769929e-02  0.0000000e+00
 5.7788303e-02  0.0000000e+00
 5.7806678e-02  2.0563395e-06
 5.7825053e-02  2.0563395e-06
 5.7843427e-02  2.0563395e-06
 5.7861802e-02  1.9331048e-06
 5.7880177e-02  5.6910631e-06
 5.7898551e-02  5.6910631e-06
 5.7916926e-02  7.3854902e-06
 5.7935301e-02  3.6275319e-06
 5.7953675e-02  3.6275319e-06
 5.7972050e-02  2.2819211e-06
 5.7990425e-02  2.2819211e-06
 5.8008799e-02  8.9270801e-06
 5.8027174e-02  6.6451590e-06
 5.8045549e-02  9.8245335e-06
 5.8063923e-02  9.4433504e-06
 5.8082298e-02  9.4433504e-06
 5.8100673e-02  9.2754578e-06
 5.8119047e-02  3.0114820e-06
 5.8137422e-02  3.0114820e-06
 5.8155797e-02  0.0000000e+00
 5.8174171e-02  0.0000000e+00
 5.8192546e-02  0.0000000e+00
 5.8210921e-02  0.0000000e+00
 5.8229295e-02  0.0000000e+00
